"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.05.2023","58,74","62,20","62,20","62,20","","-5,56%"
"01.04.2023","62,20","64,65","64,65","64,65","","6,32%"
"01.03.2023","58,50","59,89","59,89","59,89","","-2,94%"
"01.02.2023","60,27","56,18","56,18","56,18","","7,53%"
"01.01.2023","56,05","58,98","58,98","58,98","","-0,41%"
"01.12.2022","56,28","69,45","69,45","69,45","","-15,42%"
"01.11.2022","66,54","76,73","76,73","76,73","","-11,33%"
"01.10.2022","75,04","71,61","71,61","71,61","","6,59%"
"01.09.2022","70,40","74,02","74,02","74,02","","-9,91%"
"01.08.2022","78,14","77,40","77,40","77,40","","-5,64%"
"01.07.2022","82,81","89,53","89,53","89,53","","-8,99%"
"01.06.2022","90,99","94,53","94,53","94,53","","-7,18%"
"01.05.2022","98,03","78,08","78,08","78,08","","23,45%"
"01.04.2022","79,41","81,83","81,83","81,83","","-4,22%"
"01.03.2022","82,91","98,29","98,29","98,29","","-12,06%"
"01.02.2022","94,28","90,47","90,47","90,47","","2,43%"
"01.01.2022","92,04","76,61","76,61","76,61","","19,84%"
"01.12.2021","76,80","70,55","70,55","70,55","","10,76%"
"01.11.2021","69,34","83,10","83,10","83,10","","-15,54%"
"01.10.2021","82,10","76,67","76,67","76,67","","8,23%"
"01.09.2021","75,86","68,68","68,68","68,68","","7,03%"
"01.08.2021","70,88","71,43","71,43","71,43","","-4,18%"
"01.07.2021","73,97","74,66","74,66","74,66","","-1,25%"
"01.06.2021","74,91","68,81","68,81","68,81","","10,58%"
"01.05.2021","67,74","68,44","68,44","68,44","","3,12%"
"01.04.2021","65,69","60,35","60,35","60,35","","6,59%"
"01.03.2021","61,63","64,55","64,55","64,55","","-5,07%"
"01.02.2021","64,92","56,45","56,45","56,45","","16,32%"
"01.01.2021","55,81","50,97","50,97","50,97","","9,50%"
"01.12.2020","50,97","49,68","49,68","49,68","","8,63%"
"01.11.2020","46,92","46,92","46,92","46,92","","26,40%"
"01.10.2020","37,12","37,12","37,12","37,12","","-8,32%"
"01.09.2020","40,49","40,49","40,49","40,49","","-10,22%"
"01.08.2020","45,10","45,10","45,10","45,10","","3,51%"
"01.07.2020","43,57","43,57","43,57","43,57","","-1,34%"
"01.06.2020","44,16","44,16","44,16","44,16","","24,53%"
"01.05.2020","35,46","35,46","35,46","35,46","","88,82%"
"01.04.2020","18,78","18,78","18,78","18,78","","24,29%"
"01.03.2020","15,11","15,11","15,11","15,11","","-69,07%"
"01.02.2020","48,86","48,86","48,86","48,86","","-16,29%"
"01.01.2020","58,37","58,37","58,37","58,37","","-11,92%"
"01.12.2019","66,27","66,27","66,27","66,27","","1,72%"
"01.11.2019","65,15","65,15","65,15","65,15","","8,31%"
"01.10.2019","60,15","60,15","60,15","60,15","","0,35%"
"01.09.2019","59,94","59,94","59,94","59,94","","-3,46%"
"01.08.2019","62,09","62,09","62,09","62,09","","-4,31%"
"01.07.2019","64,89","64,89","64,89","64,89","","-2,08%"
"01.06.2019","66,27","66,27","66,27","66,27","","-2,08%"
"01.05.2019","67,68","67,68","67,68","67,68","","-7,40%"
"01.04.2019","73,09","73,09","73,09","73,09","","6,50%"
"01.03.2019","68,63","68,63","68,63","68,63","","6,03%"
"01.02.2019","64,73","64,73","64,73","64,73","","2,81%"
"01.01.2019","62,96","62,96","62,96","62,96","","24,38%"
"01.12.2018","50,62","50,62","50,62","50,62","","-12,59%"
"01.11.2018","57,91","57,91","57,91","57,91","","-20,99%"
"01.10.2018","73,29","73,29","73,29","73,29","","-10,70%"
"01.09.2018","82,07","82,07","82,07","82,07","","6,74%"
"01.08.2018","76,89","76,89","76,89","76,89","","5,68%"
"01.07.2018","72,76","72,76","72,76","72,76","","-4,81%"
"01.06.2018","76,44","76,44","76,44","76,44","","0,91%"
"01.05.2018","75,75","75,75","75,75","75,75","","3,53%"
"01.04.2018","73,17","73,17","73,17","73,17","","8,13%"
