DATE,XTEXVA01RUM664S
1992-06-01,628794570.753663
1992-07-01,734847803.645725
1992-08-01,982235318.567791
1992-09-01,1557008541.8891199
1992-10-01,2173836558.06482
1992-11-01,2115640875.2392402
1992-12-01,2262291997.23272
1993-01-01,2589656143.4783297
1993-02-01,2828516703.63941
1993-03-01,3106141829.04424
1993-04-01,3798999602.82815
1993-05-01,4933430799.3808
1993-06-01,4736471564.51784
1993-07-01,4507749340.483649
1993-08-01,5031745997.25074
1993-09-01,5847448328.084439
1993-10-01,5860305311.79943
1993-11-01,6574260817.33444
1993-12-01,6947776884.658299
1994-01-01,9680130100.74484
1994-02-01,9821409850.625721
1994-03-01,8589390128.9186
1994-04-01,10780004595.9895
1994-05-01,12688268814.3097
1994-06-01,11683123885.3655
1994-07-01,14927312781.8612
1994-08-01,15526513223.7245
1994-09-01,16210870822.940401
1994-10-01,16435875064.1711
1994-11-01,16486569791.600498
1994-12-01,19905868023.1778
1995-01-01,27181918378.958
1995-02-01,30750924190.5066
1995-03-01,34093108557.996105
1995-04-01,36246241395.8457
1995-05-01,33596394641.558098
1995-06-01,31619877375.602
1995-07-01,29503959063.2621
1995-08-01,27957049033.738102
1995-09-01,29645931649.828
1995-10-01,30897279335.6469
1995-11-01,31239321815.5818
1995-12-01,30881960370.2475
1996-01-01,32618452718.037403
1996-02-01,36439096667.6424
1996-03-01,38453379692.1363
1996-04-01,35911716307.7101
1996-05-01,36193849778.6538
1996-06-01,35488551216.472
1996-07-01,36857986683.0029
1996-08-01,37250057381.6453
1996-09-01,38700063852.0252
1996-10-01,42936920398.6078
1996-11-01,41502140774.340904
1996-12-01,40985606252.074394
1997-01-01,43331970595.273605
1997-02-01,41326542282.7745
1997-03-01,41353118740.555405
1997-04-01,39091421674.9172
1997-05-01,38687028654.8748
1997-06-01,39176229699.1072
1997-07-01,41666855608.514404
1997-08-01,40830751229.0328
1997-09-01,40444687186.194
1997-10-01,42929423381.773506
1997-11-01,45000136146.0513
1997-12-01,42700556615.299706
1998-01-01,40926981317.1633
1998-02-01,38526836098.4505
1998-03-01,39291650073.2963
1998-04-01,37566389014.7609
1998-05-01,38665355919.9635
1998-06-01,38677378618.994606
1998-07-01,40159976387.4728
1998-08-01,42200936134.1667
1998-09-01,87968477467.9164
1998-10-01,90768408625.97891
1998-11-01,89794592594.2275
1998-12-01,113601143747.962
1999-01-01,113048981597.659
1999-02-01,118588535689.507
1999-03-01,122928045024.595
1999-04-01,143213168367.012
1999-05-01,124401029556.84
1999-06-01,122619233349.933
1999-07-01,135609819885.566
1999-08-01,139544239778.742
1999-09-01,148393186997.968
1999-10-01,164295245929.953
1999-11-01,175281287927.47
1999-12-01,201729869235.372
2000-01-01,221391952330.025
2000-02-01,240796251694.85602
2000-03-01,237332081307.892
2000-04-01,231345943734.027
2000-05-01,228101205672.38998
2000-06-01,229787834952.14
2000-07-01,230385393466.793
2000-08-01,228233379530.647
