"Индекс потребительских цен (CPI_M_CHI)"
""
"T            CPI_M_CHI"
"в % к предыдущему периоду"
""
"1992 1                         345"
"2                       138"
"3                       130"
"4                       122"
"5                       112"
"6                       119"
"7                       111"
"8                       109"
"9                       112"
"10                       123"
"11                       126"
"12                       125"
"1993 1                         126"
"2                       125"
"3                       120"
"4                       119"
"5                       118"
"6                       120"
"7                       122"
"8                       126"
"9                       123"
"10                       120"
"11                       116"
"12                       113"
"1994 1                         118"
"2                       111"
"3                       107"
"4                       108"
"5                       107"
"6                       106"
"7                       105"
"8                       105"
"9                       108"
"10                       115"
"11                       115"
"12                       116"
"1995 1                         118"
"2                       111"
"3                       109"
"4                     108,5"
"5                     107,9"
"6                     106,7"
"7                     105,4"
"8                     104,6"
"9                     104,5"
"10                     104,7"
"11                     104,6"
"12                     103,2"
"104,1"
"1996 1"
"2                     102,8"
"3                     102,8"
"4                     102,2"
"    5    101,6"
"6    101,2"
"7    100,7"
"8     99,8"
"9    100,3"
"10    101,2"
"11    101,9"
"12    101,4"
"1997 1   102,3"
"2    101,5"
"3    101,4"
"4     101"
"5    100,9"
"6    101,1"
"7    100,9"
"8     99,9"
"9     99,7"
"10    100,2"
"11    100,6"
"12     101"
"1998 1   101,5"
"2    100,9"
"3    100,6"
"4    100,4"
"5    100,5"
"6    100,1"
"7    100,2"
"8    103,7"
"9    138,4"
"10    104,5"
"11    105,7"
"12    111,6"
"1999 1   108,4"
"2    104,1"
"3    102,8"
"4     103"
"5    102,2"
"6    101,9"
"7    102,8"
"8    101,2"
"9    101,5"
"10    101,4"
"11    101,2"
"12    101,3"
"2000 1   102,3"
"2     101"
"3    100,6"
"4    100,9"
"5    101,8"
"6    102,6"
""
"7    101,8"
"8     101"
"9    101,3"
"10    102,1"
"11    101,5"
"   12    101,6"
"2001 1   102,8"
"2    102,3"
"3    101,9"
"4    101,8"
"5    101,8"
"6    101,6"
"7    100,5"
"8     100"
"9    100,6"
"10    101,1"
"11    101,4"
"12    101,6"
"2002 1   103,1"
"2    101,2"
"3    101,1"
"4    101,2"
"5    101,7"
"6    100,5"
"7    100,7"
"8    100,1"
"9    100,4"
"10    101,1"
"11    101,6"
"12    101,5"
"2003 1   102,4"
"2    101,6"
"3    101,1"
"4     101"
"5    100,8"
"6    100,8"
"7    100,7"
"8     99,6"
"9    100,3"
"10     101"
"11     101"
"12    101,1"
"2004 1   101,8"
"2     101"
"3    100,8"
"4     101"
"5    100,7"
"6    100,8"
"7    100,9"
"8    100,4"
"9    100,4"
"10    101,1"
"11    101,1"
""
"12    101,1"
"2005 1   102,6"
"2    101,2"
"3    101,3"
"4    101,1"
"5    100,8"
"6    100,6"
"    7    100,5"
"8     99,9"
"9    100,3"
"10    100,6"
"11    100,7"
"12    100,8"
"2006 1   102,4"
"2    101,7"
"3    100,8"
"4    100,4"
"5    100,5"
"6    100,3"
"7    100,7"
"8    100,2"
"9    100,1"
"10    100,3"
"11    100,6"
"12    100,8"
"2007 1   101,7"
"2    101,1"
"3    100,6"
"4    100,6"
"5    100,6"
"6     101"
"7    100,9"
"8    100,1"
"9    100,8"
"10    101,6"
"11    101,2"
"12    101,1"
"2008 1   102,3"
"2    101,2"
"3    101,2"
"4    101,4"
"5    101,4"
"6     101"
"7    100,5"
"8    100,4"
"9    100,8"
"10    100,9"
"11    100,8"
"12    100,7"
"2009 1   102,4"
"2    101,7"
"3    101,3"
"4    100,7"
"5    100,6"
"6    100,6"
"7    100,6"
"8     100"
"9     100"
"10     100"
"11    100,3"
"12    100,4"
"2010 1   101,6"
"2    100,9"
"    3    100,6"
"4    100,3"
"5    100,5"
"6    100,4"
"7    100,4"
"8    100,6"
"9    100,8"
"10    100,5"
"11    100,8"
"12    101,1"
"2011 1   102,4"
"2    100,8"
"3    100,6"
"4    100,4"
"5    100,5"
"6    100,2"
"7    100,0"
"8     99,8"
"9    100,0"
"10    100,5"
"11    100,4"
"12    100,4"
"2012 1   100,5"
"2    100,4"
"3    100,6"
"4    100,3"
"5    100,5"
"6    100,9"
"7    101,2"
"8    100,1"
"9    100,6"
"10    100,5"
"11    100,3"
"12    100,5"
"2013 1   101,0"
"2    100,6"
"3    100,3"
"4    100,5"
"5    100,7"
"6    100,4"
"7    100,8"
"8    100,1"
"9    100,2"
"10    100,6"
"11    100,6"
"12    100,5"
"2014 1   100,6"
"2    100,7"
"3    101,0"
"4    100,9"
"5    100,9"
"6    100,7"
"7    100,5"
"8    100,2"
"9    100,7"
"10    100,8"
"   11    101,3"
"12    102,6"
"2015 1   103,9"
"2    102,2"
"3    101,2"
"4    100,5"
"5    100,4"
"6    100,2"
"7    100,8"
"8    100,4"
"9    100,6"
"10    100,7"
"11    100,8"
"12    100,8"
"2016 1   101,0"
"2    100,6"
"3    100,5"
"4    100,4"
"5    100,4"
"6    100,4"
"7    100,5"
"8    100,0"
"9    100,2"
"10    100,4"
"11    100,4"
"12    100,4"
"2017 1   100,6"
"2    100,2"
"3    100,1"
"4    100,3"
"5    100,4"
"6    100,6"
"7    100,1"
"8     99,5"
"9     99,9"
"10    100,2"
"11    100,2"
"12    100,4"
"100,3"
"2018 1"
"2    100,2"
"3    100,3"
"4    100,4"
"5    100,4"
"6    100,5"
"7    100,3"
"8    100,0"
"9    100,2"
"10    100,4"
"11    100,5"
"12    100,8"
"2019 1   101,0"
"2    100,4"
"3    100,3"
"4    100,3"
"5    100,3"
"                                         6                 100,0"
"7                 100,2"
"8                  99,8"
"9                  99,8"
"10                 100,1"
"11                 100,3"
"12                 100,4"
"2020 1                100,4"
"2                 100,3"
"3                 100,6"
"4                 100,8"
"5                 100,3"
"6                 100,2"
"7                 100,4"
"8                 100,0"
"9                  99,9"
"10                 100,4"
"11                 100,7"
"12                 100,8"
"2021 1                100,7"
"2                 100,8"
"3                 100,7"
"4                 100,6"
"5                 100,7"
"6                 100,7"
"7                 100,3"
"8                 100,2"
"9                 100,6"
"10                 101,1"
"11                 101,0"
"12                 100,8"
"2022 1                101,0"
"2                 101,2"
"3                 107,6"
"4                 101,6"
"5                 100,1"
"6                  99,7"
""
"7                  99,6"
"8                  99,5"
"9                 100,1"
"10                 100,2"
"11                 100,4"
"12                 100,8"
"2023 1                100,8"
"2                 100,5"
"3                 100,4"
"4                 100,4"
"Методология"
"Источник данных"
"Комментарии"
"График"
""
""
"Дата изменения 12.05.2023 20:42:02"
""
