"Дата","Золото (Банк России)"
"6/1/2023","5,084.22"
"5/31/2023","5,053.15"
"5/30/2023","5,013.59"
"5/29/2023","5,008.93"
"5/27/2023","5,008.93"
"5/26/2023","5,065.05"
"5/25/2023","5,062.80"
"5/24/2023","5,078.27"
"5/23/2023","5,041.43"
"5/22/2023","5,036.29"
"5/20/2023","5,036.29"
"5/19/2023","5,080.59"
"5/18/2023","5,212.60"
"5/17/2023","5,193.99"
"5/16/2023","5,136.88"
"5/15/2023","5,003.93"
"5/13/2023","5,003.93"
"5/12/2023","4,970.13"
"5/11/2023","5,005.93"
"5/10/2023","5,050.08"
"5/9/2023","5,050.08"
"5/8/2023","5,050.08"
"5/6/2023","5,050.08"
"5/5/2023","5,091.13"
"5/4/2023","5,087.83"
"5/3/2023","5,096.74"
"5/2/2023","5,139.72"
"5/1/2023","5,139.72"
"4/29/2023","5,139.72"
"4/28/2023","5,252.30"
"4/27/2023","5,215.69"
"4/26/2023","5,186.62"
"4/25/2023","5,157.21"
"4/24/2023","5,258.42"
"4/22/2023","5,258.42"
"4/21/2023","5,223.41"
"4/20/2023","5,248.95"
"4/19/2023","5,235.50"
"4/18/2023","5,299.71"
"4/17/2023","5,367.82"
"4/15/2023","5,367.82"
"4/14/2023","5,273.40"
"4/13/2023","5,285.85"
"4/12/2023","5,289.31"
"4/11/2023","5,261.26"
"4/10/2023","5,303.40"
"4/8/2023","5,303.40"
"4/7/2023","5,267.29"
"4/6/2023","5,136.25"
"4/5/2023","5,060.12"
"4/4/2023","4,961.49"
"4/3/2023","4,886.98"
"4/1/2023","4,886.98"
"3/31/2023","4,870.02"
"3/30/2023","4,857.86"
"3/29/2023","4,792.74"
"3/28/2023","4,908.06"
"3/27/2023","4,861.51"
"3/25/2023","4,861.51"
"3/24/2023","4,782.40"
"3/23/2023","4,830.86"
"3/22/2023","4,865.03"
"3/21/2023","4,872.66"
"3/20/2023","4,735.52"
"3/18/2023","4,735.52"
"3/17/2023","4,725.06"
"3/16/2023","4,645.42"
"3/15/2023","4,620.57"
"3/14/2023","4,515.62"
"3/13/2023","4,471.45"
"3/11/2023","4,471.45"
"3/10/2023","4,432.37"
"3/8/2023","4,485.83"
"3/7/2023","4,467.56"
"3/6/2023","4,454.75"
"3/4/2023","4,454.75"
"3/3/2023","4,467.81"
"3/2/2023","4,414.41"
"3/1/2023","4,379.07"
"2/28/2023","4,391.92"
"2/23/2023","4,412.00"
"2/22/2023","4,442.45"
"2/21/2023","4,365.80"
"2/20/2023","4,395.97"
"2/18/2023","4,395.97"
"2/17/2023","4,401.67"
"2/16/2023","4,446.47"
"2/15/2023","4,407.74"
"2/14/2023","4,402.43"
"2/13/2023","4,397.70"
"2/11/2023","4,397.70"
"2/10/2023","4,388.79"
"2/9/2023","4,304.91"
"2/8/2023","4,269.59"
"2/7/2023","4,256.69"
"2/6/2023","4,348.54"
"2/4/2023","4,348.54"
"2/3/2023","4,336.90"
"2/2/2023","4,337.36"
"2/1/2023","4,362.29"
"1/31/2023","4,302.74"
"1/30/2023","4,307.90"
"1/28/2023","4,307.90"
"1/27/2023","4,291.13"
"1/26/2023","4,258.35"
"1/25/2023","4,232.69"
"1/24/2023","4,247.23"
"1/23/2023","4,235.59"
"1/21/2023","4,235.59"
"1/20/2023","4,251.41"
"1/19/2023","4,237.75"
"1/18/2023","4,231.99"
"1/17/2023","4,187.24"
"1/16/2023","4,089.96"
"1/14/2023","4,089.96"
"1/13/2023","4,080.03"
"1/12/2023","4,168.82"
"1/11/2023","4,204.85"
"1/10/2023","4,186.35"
"1/2/2023","4,101.62"
"12/31/2022","4,101.62"
"12/30/2022","4,173.20"
"12/29/2022","4,129.34"
"12/28/2022","4,048.78"
"12/27/2022","3,962.76"
"12/26/2022","3,975.92"
"12/24/2022","3,975.92"
"12/23/2022","4,214.99"
"12/22/2022","4,112.93"
"12/21/2022","3,972.92"
"12/20/2022","3,823.72"
"12/19/2022","3,704.77"
"12/17/2022","3,704.77"
"12/16/2022","3,737.85"
"12/15/2022","3,714.64"
"12/14/2022","3,630.93"
"12/13/2022","3,624.66"
"12/12/2022","3,590.33"
"12/10/2022","3,590.33"
"12/9/2022","3,585.33"
"12/8/2022","3,589.24"
"12/7/2022","3,593.78"
