Дата,Индекс МосБиржи
6/2/2023,"2,719.48"
6/1/2023,"2,721.73"
5/31/2023,"2,717.64"
5/30/2023,"2,698.75"
5/29/2023,"2,732.00"
5/26/2023,"2,682.03"
5/25/2023,"2,649.98"
5/24/2023,"2,654.99"
5/23/2023,"2,641.66"
5/22/2023,"2,633.26"
5/19/2023,"2,626.16"
5/18/2023,"2,632.91"
5/17/2023,"2,634.48"
5/16/2023,"2,633.71"
5/15/2023,"2,611.07"
5/12/2023,"2,565.17"
5/11/2023,"2,595.12"
5/10/2023,"2,548.63"
5/8/2023,"2,527.59"
5/5/2023,"2,538.24"
5/4/2023,"2,524.51"
5/3/2023,"2,532.42"
5/2/2023,"2,580.51"
4/28/2023,"2,634.94"
4/27/2023,"2,646.18"
4/26/2023,"2,620.33"
4/25/2023,"2,626.86"
4/24/2023,"2,635.43"
4/21/2023,"2,639.95"
4/20/2023,"2,637.85"
4/19/2023,"2,606.55"
4/18/2023,"2,615.62"
4/17/2023,"2,596.11"
4/14/2023,"2,554.85"
4/13/2023,"2,544.28"
4/12/2023,"2,538.47"
4/11/2023,"2,533.69"
4/10/2023,"2,547.35"
4/7/2023,"2,508.39"
4/6/2023,"2,498.30"
4/5/2023,"2,500.80"
4/4/2023,"2,480.45"
4/3/2023,"2,473.32"
3/31/2023,"2,450.67"
3/30/2023,"2,465.93"
3/29/2023,"2,460.87"
3/28/2023,"2,442.19"
3/27/2023,"2,440.68"
3/24/2023,"2,391.53"
3/23/2023,"2,388.35"
3/22/2023,"2,393.88"
3/21/2023,"2,398.15"
3/20/2023,"2,397.16"
3/17/2023,"2,322.78"
3/16/2023,"2,258.22"
3/15/2023,"2,262.07"
3/14/2023,"2,290.32"
3/13/2023,"2,269.47"
3/10/2023,"2,276.25"
3/9/2023,"2,290.14"
3/7/2023,"2,295.60"
3/6/2023,"2,294.12"
3/3/2023,"2,272.20"
3/2/2023,"2,254.30"
3/1/2023,"2,279.65"
2/28/2023,"2,253.16"
2/27/2023,"2,241.10"
2/24/2023,"2,208.03"
2/22/2023,"2,212.40"
2/21/2023,"2,212.42"
2/20/2023,"2,183.57"
2/17/2023,"2,168.88"
2/16/2023,"2,153.96"
2/15/2023,"2,166.46"
2/14/2023,"2,232.23"
2/13/2023,"2,264.27"
2/10/2023,"2,261.58"
2/9/2023,"2,262.45"
2/8/2023,"2,251.97"
2/7/2023,"2,267.69"
2/6/2023,"2,272.37"
2/3/2023,"2,248.30"
2/2/2023,"2,243.54"
2/1/2023,"2,230.15"
1/31/2023,"2,225.60"
1/30/2023,"2,204.41"
1/27/2023,"2,189.35"
1/26/2023,"2,166.92"
1/25/2023,"2,170.15"
1/24/2023,"2,172.75"
1/23/2023,"2,185.31"
1/20/2023,"2,166.69"
1/19/2023,"2,168.83"
1/18/2023,"2,196.26"
1/17/2023,"2,196.84"
1/16/2023,"2,224.90"
1/13/2023,"2,199.94"
1/12/2023,"2,185.93"
1/11/2023,"2,186.98"
1/10/2023,"2,159.51"
1/9/2023,"2,163.50"
1/6/2023,"2,156.39"
1/5/2023,"2,156.67"
1/4/2023,"2,168.42"
1/3/2023,"2,172.68"
12/30/2022,"2,154.12"
12/29/2022,"2,147.06"
12/28/2022,"2,139.77"
12/27/2022,"2,150.92"
12/26/2022,"2,139.21"
12/23/2022,"2,124.02"
12/22/2022,"2,122.91"
12/21/2022,"2,116.13"
12/20/2022,"2,119.37"
12/19/2022,"2,129.98"
12/16/2022,"2,132.75"
12/15/2022,"2,126.80"
12/14/2022,"2,159.81"
12/13/2022,"2,174.38"
12/12/2022,"2,173.16"
12/9/2022,"2,177.85"
12/8/2022,"2,184.43"
12/7/2022,"2,192.88"
12/6/2022,"2,196.24"
12/5/2022,"2,208.28"
12/2/2022,"2,180.44"
12/1/2022,"2,187.29"
11/30/2022,"2,174.53"
11/29/2022,"2,185.32"
11/28/2022,"2,177.45"
11/25/2022,"2,195.17"
11/24/2022,"2,210.95"
11/23/2022,"2,211.89"
11/22/2022,"2,196.04"
11/21/2022,"2,166.31"
11/18/2022,"2,206.32"
11/17/2022,"2,212.93"
11/16/2022,"2,227.19"
11/15/2022,"2,223.26"
11/14/2022,"2,244.77"
11/11/2022,"2,217.44"
11/10/2022,"2,210.02"
