Дата,Индекс МосБиржи нефти и газа
5/26/2023,6898.12
5/25/2023,6879.89
5/24/2023,6901.23
5/23/2023,6862.46
5/22/2023,6830.46
5/19/2023,6784.34
5/18/2023,6820.98
5/17/2023,6835.11
5/16/2023,6848.94
5/15/2023,6798.51
5/12/2023,6641.75
5/11/2023,6691.99
5/10/2023,6591.29
5/8/2023,6415.71
5/5/2023,6411.09
5/4/2023,6375.24
5/3/2023,6420.16
5/2/2023,6586.32
4/28/2023,6764.02
4/27/2023,6801.08
4/26/2023,6739.27
4/25/2023,6767.25
4/24/2023,6798.42
4/21/2023,6808.36
4/20/2023,6769.21
4/19/2023,6663.68
4/18/2023,6694.60
4/17/2023,6687.71
4/14/2023,6591.99
4/13/2023,6566.23
4/12/2023,6565.95
4/11/2023,6550.60
4/10/2023,6603.52
4/7/2023,6522.12
4/6/2023,6490.06
4/5/2023,6452.52
4/4/2023,6376.13
4/3/2023,6288.49
3/31/2023,6174.30
3/30/2023,6212.11
3/29/2023,6184.70
3/28/2023,6162.61
3/27/2023,6178.55
3/24/2023,6021.32
3/23/2023,5998.96
3/22/2023,6008.27
3/21/2023,6032.70
3/20/2023,6027.77
3/17/2023,5810.05
3/16/2023,5678.27
3/15/2023,5663.68
3/14/2023,5734.16
3/13/2023,5692.61
3/10/2023,5710.80
3/9/2023,5735.85
3/7/2023,5741.60
3/6/2023,5751.09
3/3/2023,5683.60
3/2/2023,5642.94
3/1/2023,5712.97
2/28/2023,5641.19
2/27/2023,5579.41
2/24/2023,5506.66
2/22/2023,5532.09
2/21/2023,5522.69
2/20/2023,5485.51
2/17/2023,5452.74
2/16/2023,5414.55
2/15/2023,5421.94
2/14/2023,5570.36
2/13/2023,5636.06
2/10/2023,5637.97
2/9/2023,5643.51
2/8/2023,5614.84
2/7/2023,5668.26
2/6/2023,5620.13
2/3/2023,5574.72
2/2/2023,5563.41
2/1/2023,5561.92
1/31/2023,5562.22
1/30/2023,5551.50
1/27/2023,5531.44
1/26/2023,5456.58
1/25/2023,5475.55
1/24/2023,5483.60
1/23/2023,5514.73
1/20/2023,5488.75
1/19/2023,5504.31
1/18/2023,5580.24
1/17/2023,5601.89
1/16/2023,5648.94
1/13/2023,5603.33
1/12/2023,5589.38
1/11/2023,5612.38
1/10/2023,5624.23
1/9/2023,5650.93
1/6/2023,5651.65
1/5/2023,5649.59
1/4/2023,5670.73
1/3/2023,5705.97
12/30/2022,5658.04
12/29/2022,5620.93
12/28/2022,5594.85
12/27/2022,5609.69
12/26/2022,5585.49
12/23/2022,5552.75
12/22/2022,5561.49
12/21/2022,5565.62
12/20/2022,5570.80
12/19/2022,5581.95
12/16/2022,5597.21
12/15/2022,5559.33
12/14/2022,5639.75
12/13/2022,5678.89
12/12/2022,5681.26
12/9/2022,5701.29
12/8/2022,5714.80
12/7/2022,5714.21
12/6/2022,5737.74
12/5/2022,5783.35
12/2/2022,5731.06
12/1/2022,5717.63
11/30/2022,5691.30
11/29/2022,5719.12
11/28/2022,5711.51
11/25/2022,5756.97
11/24/2022,5783.14
11/23/2022,5786.29
11/22/2022,5754.21
11/21/2022,5697.82
11/18/2022,5809.97
11/17/2022,5823.90
11/16/2022,5861.87
11/15/2022,5861.01
11/14/2022,5924.61
11/11/2022,5915.41
11/10/2022,5940.13
11/9/2022,5876.77
11/8/2022,5978.14
11/7/2022,5987.82
11/3/2022,5851.87
11/2/2022,5908.46
11/1/2022,5903.87
10/31/2022,5879.76
10/28/2022,5893.29
10/27/2022,5837.09
10/26/2022,5688.28
10/25/2022,5664.56
10/24/2022,5466.49
10/21/2022,5402.94
10/20/2022,5396.88
10/19/2022,5276.69
10/18/2022,5402.56
10/17/2022,5377.08
10/14/2022,5211.06
10/13/2022,5232.08
10/12/2022,5205.90
10/11/2022,5189.13
10/10/2022,5117.12
10/7/2022,5241.46
10/6/2022,5458.68
10/5/2022,5468.91
10/4/2022,5479.03
10/3/2022,5481.78
9/30/2022,5253.69
9/29/2022,5219.58
9/28/2022,5238.95
9/27/2022,5204.57
9/26/2022,5144.47
9/23/2022,5606.11
9/22/2022,5858.18
9/21/2022,5690.39
9/20/2022,5971.94
9/19/2022,6516.01
9/16/2022,6543.59
9/15/2022,6606.63
9/14/2022,6587.39
9/13/2022,6604.47
9/12/2022,6650.73
9/9/2022,6586.80
9/8/2022,6520.06
9/7/2022,6545.92
9/6/2022,6623.72
9/5/2022,6793.69
9/2/2022,6715.12
9/1/2022,6616.36
8/31/2022,6533.48
8/30/2022,6322.43
8/29/2022,6305.80
8/26/2022,6240.27
8/25/2022,6170.28
8/24/2022,6224.78
8/23/2022,6225.30
8/22/2022,6183.44
8/19/2022,6043.26
8/18/2022,6068.45
8/17/2022,6053.41
8/16/2022,6129.82
8/15/2022,5992.77
8/12/2022,5960.17
8/11/2022,5913.22
8/10/2022,5969.92
8/9/2022,5912.69
8/8/2022,5758.06
8/5/2022,5699.07
8/4/2022,5835.84
8/3/2022,5873.50
8/2/2022,5914.86
8/1/2022,6048.94
7/29/2022,6129.86
7/28/2022,5986.02
7/27/2022,6018.36
7/26/2022,5974.29
7/25/2022,5849.94
7/22/2022,5824.35
7/21/2022,5692.90
7/20/2022,5727.83
7/19/2022,5661.16
7/18/2022,5839.77
7/15/2022,5881.64
7/14/2022,5728.25
7/13/2022,5790.19
7/12/2022,5961.27
7/11/2022,6062.92
7/8/2022,6186.73
7/7/2022,6238.09
7/6/2022,6307.97
7/5/2022,6290.93
7/4/2022,6274.49
7/1/2022,6301.99
6/30/2022,6252.22
6/29/2022,6684.44
6/28/2022,6724.84
6/27/2022,6680.25
6/24/2022,6645.52
6/23/2022,6695.13
6/22/2022,6661.41
6/21/2022,6654.92
6/20/2022,6761.86
6/17/2022,6604.52
6/16/2022,6671.19
6/15/2022,6504.43
6/14/2022,6417.44
6/10/2022,6417.71
6/9/2022,6340.63
6/8/2022,6334.46
6/7/2022,6237.28
6/6/2022,6182.54
6/3/2022,6217.52
6/2/2022,6290.89
6/1/2022,6356.87
5/31/2022,6302.16
5/30/2022,6436.48
5/27/2022,6476.33
5/26/2022,6433.75
5/25/2022,6198.76
5/24/2022,6020.15
5/23/2022,6103.89
5/20/2022,6333.14
5/19/2022,6445.85
5/18/2022,6431.02
5/17/2022,6354.45
5/16/2022,6153.04
5/13/2022,5985.62
5/12/2022,5973.21
5/11/2022,6218.21
5/6/2022,6235.08
5/5/2022,6227.69
5/4/2022,6178.11
4/29/2022,6400.46
4/28/2022,6211.76
4/27/2022,6317.05
4/26/2022,6131.84
4/25/2022,5796.76
4/22/2022,5843.84
4/21/2022,5860.32
4/20/2022,5987.43
4/19/2022,5973.92
4/18/2022,6077.55
4/15/2022,6255.28
4/14/2022,6236.90
4/13/2022,6536.29
4/12/2022,6555.20
4/11/2022,6597.73
4/8/2022,6652.84
4/7/2022,6774.05
4/6/2022,6766.87
4/5/2022,6865.91
4/4/2022,7192.49
4/1/2022,7182.95
3/31/2022,7137.15
3/30/2022,6645.83
3/29/2022,6481.01
3/28/2022,6496.13
2/25/2022,6480.57
2/24/2022,5142.45
2/22/2022,7542.66
2/21/2022,7449.83
2/18/2022,8366.07
2/17/2022,8623.02
2/16/2022,8947.52
2/15/2022,8879.35
2/14/2022,8690.00
2/11/2022,8809.02
2/10/2022,9005.02
2/9/2022,9027.00
2/8/2022,8919.13
2/7/2022,8810.77
2/4/2022,8812.51
2/3/2022,8758.97
2/2/2022,8880.79
2/1/2022,8866.17
1/31/2022,8876.07
1/28/2022,8836.36
1/27/2022,8729.83
1/26/2022,8419.24
1/25/2022,8250.19
1/24/2022,8193.35
1/21/2022,8648.97
1/20/2022,8768.36
1/19/2022,8693.15
1/18/2022,8422.75
1/17/2022,8925.09
1/14/2022,9060.46
1/13/2022,9068.27
1/12/2022,9413.90
1/11/2022,9275.31
1/10/2022,9197.30
1/6/2022,9174.89
1/5/2022,9270.18
1/4/2022,9417.79
1/3/2022,9307.03
12/30/2021,9159.50
12/29/2021,9087.21
12/28/2021,9125.12
12/27/2021,9025.96
12/24/2021,8910.19
12/23/2021,8939.64
12/22/2021,9076.50
12/21/2021,8917.97
12/20/2021,8863.44
12/17/2021,8941.91
12/16/2021,8985.49
12/15/2021,8718.65
12/14/2021,8618.12
12/13/2021,8590.95
12/10/2021,8887.84
12/9/2021,8959.04
12/8/2021,8885.44
12/7/2021,9091.01
12/6/2021,8893.70
12/3/2021,9007.14
12/2/2021,9058.61
12/1/2021,8978.63
11/30/2021,8789.66
11/29/2021,8842.03
11/26/2021,8692.08
11/25/2021,9018.80
11/24/2021,9123.50
11/23/2021,9031.47
11/22/2021,8880.91
11/19/2021,9085.88
11/18/2021,9298.68
11/17/2021,9548.53
11/16/2021,9524.60
11/15/2021,9506.25
11/12/2021,9522.72
11/11/2021,9558.56
11/10/2021,9460.38
11/9/2021,9407.95
11/8/2021,9500.64
11/5/2021,9359.87
11/3/2021,9347.03
11/2/2021,9467.20
11/1/2021,9564.98
10/29/2021,9452.83
10/28/2021,9504.65
10/27/2021,9642.75
10/26/2021,9757.71
10/25/2021,9809.95
10/22/2021,9620.82
10/21/2021,9684.16
10/20/2021,9882.04
10/19/2021,9827.87
10/18/2021,9815.06
10/15/2021,9852.87
10/14/2021,9762.60
10/13/2021,9745.53
10/12/2021,9864.12
10/11/2021,9826.26
10/8/2021,9783.61
10/7/2021,9810.65
10/6/2021,9772.03
10/5/2021,10024.82
10/4/2021,9697.25
10/1/2021,9534.33
9/30/2021,9558.27
9/29/2021,9481.93
9/28/2021,9463.72
9/27/2021,9407.26
9/24/2021,9237.52
9/23/2021,9226.84
9/22/2021,9164.51
9/21/2021,8951.22
9/20/2021,8896.07
9/17/2021,9066.08
9/16/2021,9183.22
9/15/2021,9178.49
9/14/2021,9141.50
9/13/2021,9065.48
9/10/2021,8881.37
9/9/2021,8903.15
9/8/2021,8961.95
9/7/2021,8936.86
9/6/2021,8900.05
9/3/2021,8853.80
9/2/2021,8839.02
9/1/2021,8727.24
8/31/2021,8603.70
8/30/2021,8675.63
8/27/2021,8584.27
8/26/2021,8525.89
8/25/2021,8666.75
8/24/2021,8705.22
8/23/2021,8685.54
8/20/2021,8534.30
8/19/2021,8567.80
8/18/2021,8751.61
8/17/2021,8794.65
8/16/2021,8719.79
8/13/2021,8642.63
8/12/2021,8686.38
8/11/2021,8619.21
8/10/2021,8592.36
8/9/2021,8486.61
8/6/2021,8437.42
8/5/2021,8511.48
8/4/2021,8469.93
8/3/2021,8450.87
8/2/2021,8482.33
7/30/2021,8420.38
7/29/2021,8539.97
7/28/2021,8455.21
7/27/2021,8340.88
7/26/2021,8336.79
