Дата,Серебро (Банк России)
6/1/2023,60.56
5/31/2023,60.04
5/30/2023,59.57
5/29/2023,59.15
5/27/2023,59.15
5/26/2023,60.21
5/25/2023,59.54
5/24/2023,61.47
5/23/2023,60.81
5/22/2023,60.43
5/20/2023,60.43
5/19/2023,60.95
5/18/2023,61.76
5/17/2023,61.43
5/16/2023,60.67
5/15/2023,61.77
5/13/2023,61.77
5/12/2023,62.26
5/11/2023,63.04
5/10/2023,63.29
5/9/2023,63.29
5/8/2023,63.29
5/6/2023,63.29
5/5/2023,63.82
5/4/2023,63.16
5/3/2023,63.67
5/2/2023,65.09
5/1/2023,65.09
4/29/2023,65.09
4/28/2023,65.16
4/27/2023,65.33
4/26/2023,65.63
4/25/2023,65.73
4/24/2023,66.54
4/22/2023,66.54
4/21/2023,64.95
4/20/2023,65.87
4/19/2023,66.61
4/18/2023,68.30
4/17/2023,67.14
4/15/2023,67.14
4/14/2023,66.03
4/13/2023,66.13
4/12/2023,65.88
4/11/2023,65.53
4/10/2023,66.06
4/8/2023,66.06
4/7/2023,64.17
4/6/2023,61.38
4/5/2023,61.04
4/4/2023,59.86
4/3/2023,58.94
4/1/2023,58.94
3/31/2023,57.63
3/30/2023,57.03
3/29/2023,56.37
3/28/2023,57.04
3/27/2023,56.28
3/25/2023,56.28
3/24/2023,54.82
3/23/2023,55.58
3/22/2023,55.57
3/21/2023,54.35
3/20/2023,54.21
3/18/2023,54.21
3/17/2023,54.28
3/16/2023,52.70
3/15/2023,51.00
3/14/2023,48.74
3/13/2023,49.12
3/11/2023,49.12
3/10/2023,49.06
3/8/2023,51.15
3/7/2023,51.17
3/6/2023,50.46
3/4/2023,50.46
3/3/2023,50.94
3/2/2023,49.66
3/1/2023,49.92
2/28/2023,51.15
2/23/2023,52.30
2/22/2023,52.25
2/21/2023,50.50
2/20/2023,51.83
2/18/2023,51.83
2/17/2023,51.61
2/16/2023,51.80
2/15/2023,52.21
2/14/2023,52.35
2/13/2023,52.58
2/11/2023,52.58
2/10/2023,52.61
2/9/2023,51.10
2/8/2023,51.01
2/7/2023,53.32
2/6/2023,55.29
2/4/2023,55.29
2/3/2023,52.91
2/2/2023,51.84
2/1/2023,53.58
1/31/2023,53.08
1/30/2023,52.86
1/28/2023,52.86
1/27/2023,52.07
1/26/2023,52.57
1/25/2023,52.33
1/24/2023,52.67
1/23/2023,51.76
1/21/2023,51.76
1/20/2023,53.53
1/19/2023,53.36
1/18/2023,53.36
1/17/2023,51.98
1/16/2023,51.49
1/14/2023,51.49
1/13/2023,52.02
1/12/2023,52.18
1/11/2023,53.38
1/10/2023,53.01
1/2/2023,53.95
12/31/2022,53.95
12/30/2022,55.20
12/29/2022,54.43
12/28/2022,53.37
12/27/2022,52.23
12/26/2022,52.41
12/24/2022,52.41
12/23/2022,55.40
12/22/2022,53.83
12/21/2022,51.56
12/20/2022,48.70
12/19/2022,48.12
12/17/2022,48.12
12/16/2022,48.81
12/15/2022,47.66
12/14/2022,47.54
12/13/2022,46.64
12/12/2022,45.52
12/10/2022,45.52
12/9/2022,45.03
12/8/2022,45.61
12/7/2022,46.49
12/6/2022,45.19
12/5/2022,43.96
12/3/2022,43.96
12/2/2022,42.39
12/1/2022,41.82
11/30/2022,42.17
11/29/2022,41.67
