"Дата","Цена"
"01.05.2023","58,74"
"01.04.2023","62,20"
"01.03.2023","58,50"
"01.02.2023","60,27"
"01.01.2023","56,05"
"01.12.2022","56,28"
"01.11.2022","66,54"
"01.10.2022","75,04"
"01.09.2022","70,40"
"01.08.2022","78,14"
"01.07.2022","82,81"
"01.06.2022","90,99"
"01.05.2022","98,03"
"01.04.2022","79,41"
"01.03.2022","82,91"
"01.02.2022","94,28"
"01.01.2022","92,04"
"01.12.2021","76,80"
"01.11.2021","69,34"
"01.10.2021","82,10"
"01.09.2021","75,86"
"01.08.2021","70,88"
"01.07.2021","73,97"
"01.06.2021","74,91"
"01.05.2021","67,74"
"01.04.2021","65,69"
"01.03.2021","61,63"
"01.02.2021","64,92"
"01.01.2021","55,81"
"01.12.2020","50,97"
"01.11.2020","46,92"
"01.10.2020","37,12"
"01.09.2020","40,49"
"01.08.2020","45,10"
"01.07.2020","43,57"
"01.06.2020","44,16"
"01.05.2020","35,46"
"01.04.2020","18,78"
"01.03.2020","15,11"
"01.02.2020","48,86"
"01.01.2020","58,37"
"01.12.2019","66,27"
"01.11.2019","65,15"
"01.10.2019","60,15"
"01.09.2019","59,94"
"01.08.2019","62,09"
"01.07.2019","64,89"
"01.06.2019","66,27"
"01.05.2019","67,68"
"01.04.2019","73,09"
"01.03.2019","68,63"
"01.02.2019","64,73"
"01.01.2019","62,96"
"01.12.2018","50,62"
"01.11.2018","57,91"
"01.10.2018","73,29"
"01.09.2018","82,07"
"01.08.2018","76,89"
"01.07.2018","72,76"
"01.06.2018","76,44"
"01.05.2018","75,75"
"01.04.2018","73,17"
"01.03.2018","67,67"
"01.02.2018","63,83"
"01.01.2018","66,67"
"01.12.2017","66,73"
"01.11.2017","63,33"
"01.10.2017","61,15"
"01.09.2017","56,27"
"01.08.2017","51,69"
"01.07.2017","51,74"
"01.06.2017","46,08"
"01.05.2017","48,15"
"01.04.2017","49,36"
"01.03.2017","50,60"
"01.02.2017","52,31"
"01.01.2017","53,95"
"01.12.2016","53,46"
"01.11.2016","46,85"
"01.10.2016","44,85"
"01.09.2016","46,34"
"01.08.2016","44,31"
"01.07.2016","39,51"
"01.06.2016","46,85"
"01.05.2016","47,71"
"01.04.2016","44,34"
"01.03.2016","36,01"
"01.02.2016","33,97"
"01.01.2016","31,69"
"01.12.2015","35,16"
"01.11.2015","42,88"
"01.10.2015","46,40"
"01.09.2015","45,94"
"01.08.2015","47,07"
"01.07.2015","51,84"
"01.06.2015","60,26"
"01.05.2015","62,36"
"01.04.2015","63,10"
"01.03.2015","52,44"
"01.02.2015","60,49"
"01.01.2015","47,62"
"01.12.2014","53,42"
"01.11.2014","71,39"
"01.10.2014","83,32"
"01.09.2014","92,72"
"01.08.2014","100,37"
"01.07.2014","105,04"
"01.06.2014","109,28"
"01.05.2014","106,81"
"01.04.2014","107,68"
"01.03.2014","105,15"
"01.02.2014","108,13"
"01.01.2014","107,31"
"01.12.2013","108,75"
"01.11.2013","110,72"
"01.10.2013","106,48"
"01.09.2013","107,00"
"01.08.2013","115,77"
"01.07.2013","108,54"
"01.06.2013","102,30"
"01.05.2013","99,98"
"01.04.2013","101,39"
"01.03.2013","107,56"
"01.02.2013","109,31"
"01.01.2013","115,83"
