Дата,USD/RUB (Банк России)
5/26/2023,79.98
5/25/2023,79.97
5/24/2023,80.17
5/23/2023,79.94
5/22/2023,79.91
5/20/2023,79.91
5/19/2023,80.04
5/18/2023,80.76
5/17/2023,79.98
5/16/2023,79.10
5/15/2023,77.20
5/13/2023,77.20
5/12/2023,75.88
5/11/2023,76.69
5/10/2023,76.82
5/9/2023,76.82
5/8/2023,76.82
5/6/2023,76.82
5/5/2023,78.61
5/4/2023,79.31
5/3/2023,79.96
5/2/2023,80.51
5/1/2023,80.51
4/29/2023,80.51
4/28/2023,81.56
4/27/2023,81.63
4/26/2023,81.55
4/25/2023,81.27
4/24/2023,81.49
4/22/2023,81.49
4/21/2023,81.62
4/20/2023,81.65
4/19/2023,81.60
4/18/2023,81.63
4/17/2023,81.50
4/15/2023,81.50
4/14/2023,81.68
4/13/2023,82.09
4/12/2023,82.18
4/11/2023,81.74
4/10/2023,82.40
4/8/2023,82.40
4/7/2023,80.67
4/6/2023,79.50
4/5/2023,79.36
4/4/2023,77.95
4/3/2023,77.32
4/1/2023,77.32
3/31/2023,77.09
3/30/2023,76.98
3/29/2023,76.59
3/28/2023,76.57
3/27/2023,76.45
3/25/2023,76.45
3/24/2023,76.31
3/23/2023,76.96
3/22/2023,76.84
3/21/2023,77.24
3/20/2023,76.60
3/18/2023,76.60
3/17/2023,76.41
3/16/2023,75.75
3/15/2023,75.19
3/14/2023,75.46
3/13/2023,75.94
3/11/2023,75.94
3/10/2023,75.90
3/8/2023,75.46
3/7/2023,75.47
3/6/2023,75.46
3/4/2023,75.46
3/3/2023,75.47
3/2/2023,75.25
3/1/2023,74.89
2/28/2023,75.43
2/23/2023,74.71
2/22/2023,74.86
2/21/2023,74.04
2/20/2023,74.76
2/18/2023,74.76
2/17/2023,74.76
2/16/2023,74.21
2/15/2023,73.86
2/14/2023,73.63
2/13/2023,72.79
2/11/2023,72.79
2/10/2023,72.89
2/9/2023,71.58
2/8/2023,70.89
2/7/2023,70.60
2/6/2023,70.38
2/4/2023,70.38
2/3/2023,70.04
2/2/2023,70.12
2/1/2023,70.52
1/31/2023,69.59
1/30/2023,69.34
1/28/2023,69.34
1/27/2023,69.13
1/26/2023,68.96
1/25/2023,68.75
1/24/2023,68.63
1/23/2023,68.67
1/21/2023,68.67
1/20/2023,68.85
1/19/2023,68.87
1/18/2023,68.66
1/17/2023,68.29
1/16/2023,67.57
1/14/2023,67.57
1/13/2023,67.78
1/12/2023,69.02
1/11/2023,69.61
1/10/2023,70.30
1/2/2023,70.34
12/31/2022,70.34
12/30/2022,71.98
12/29/2022,71.33
12/28/2022,69.93
12/27/2022,68.45
12/26/2022,68.68
12/24/2022,68.68
12/23/2022,72.13
12/22/2022,70.53
12/21/2022,69.00
12/20/2022,66.35
12/19/2022,64.61
12/17/2022,64.61
12/16/2022,64.30
12/15/2022,63.36
12/14/2022,63.21
12/13/2022,62.77
12/12/2022,62.38
12/10/2022,62.38
12/9/2022,62.57
12/8/2022,62.94
12/7/2022,62.91
12/6/2022,62.18
12/5/2022,61.77
12/3/2022,61.77
12/2/2022,61.15
12/1/2022,60.88
11/30/2022,61.07
11/29/2022,60.75
11/28/2022,60.48
11/26/2022,60.48
11/25/2022,60.39
11/24/2022,60.50
11/23/2022,60.66
11/22/2022,60.74
11/21/2022,60.37
11/19/2022,60.37
11/18/2022,60.39
11/17/2022,60.35
11/16/2022,60.31
11/15/2022,60.40
11/14/2022,60.22
11/12/2022,60.22
11/11/2022,61.24
11/10/2022,61.06
11/9/2022,60.98
11/8/2022,61.24
11/4/2022,62.10
11/3/2022,61.62
11/2/2022,61.43
11/1/2022,61.62
10/31/2022,61.53
10/29/2022,61.53
10/28/2022,61.36
10/27/2022,61.43
10/26/2022,61.33
10/25/2022,61.16
10/24/2022,61.20
10/22/2022,61.20
10/21/2022,61.50
10/20/2022,61.59
10/19/2022,61.70
10/18/2022,61.76
10/17/2022,63.06
10/15/2022,63.06
10/14/2022,63.49
10/13/2022,63.76
10/12/2022,63.68
10/11/2022,62.31
10/10/2022,61.25
10/8/2022,61.25
10/7/2022,60.25
10/6/2022,59.40
10/5/2022,58.79
10/4/2022,57.57
10/3/2022,55.30
10/1/2022,55.30
9/30/2022,57.41
9/29/2022,58.45
9/28/2022,58.18
9/27/2022,58.00
9/26/2022,58.10
9/24/2022,58.10
9/23/2022,59.83
9/22/2022,60.87
9/21/2022,60.02
9/20/2022,60.17
9/19/2022,60.03
9/17/2022,60.03
9/16/2022,59.67
9/15/2022,59.78
9/14/2022,60.07
9/13/2022,60.46
9/12/2022,60.47
